Day_of_week,Age_band_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Known_defect_information,Lanes_or_Medians,Types_of_Junction,Dry_Road_cond,Daylight,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Sex_driver_Male
3,0,1,Employee,1,Public,1,1,Divided_Two-way,No_junction,1,1,Inanimated_Objects,2,1,Backward,Driver or rider,3,0,No_distance,Slight Injury,8,0
3,2,0,Unknown,0,Unknown,0,0,Other,No_junction,1,1,Vehicles,2,1,Forward,Pedestrian,3,1,Driving_carelessly,Slight Injury,8,1
7,2,2,Employee,4,Automobile,0,1,Divided_Two-way,Y,1,1,Inanimated_Objects,6,1,Forward,Unknown,0,0,Changing_lane,Slight Injury,12,1
7,2,2,Employee,1,Pick up,3,0,Other,Y,1,1,Vehicles,6,1,Unknown,Driver or rider,3,0,Driving_carelessly,Slight Injury,12,1
7,0,2,Owner,3,Public,0,0,Undivided_Two-way,Y,1,1,Vehicles,6,1,Forward,Driver or rider,3,0,No_distance,Slight Injury,12,0
7,0,2,Employee,1,Lorry,0,1,One-way,Y,1,1,Vehicles,6,1,Forward,Driver or rider,3,0,Other,Slight Injury,12,0
7,2,2,Employee,4,Lorry,3,1,Other,Y,1,1,Vehicles,2,1,Forward,Unknown,0,0,No_distance,Serious Injury,20,1
7,3,2,Employee,1,Lorry,0,1,One-way,Y,1,1,Vehicles,2,1,Turn,Unknown,0,0,Changing_lane,Serious Injury,20,1
4,3,1,Employee,2,Public,3,1,Other,Y,1,1,Vehicles,1,1,Forward,Driver or rider,3,0,No_distance,Slight Injury,18,1
4,3,2,Employee,3,Lorry,0,1,Divided_Two-way,Crossing,1,1,Vehicles,6,2,Forward,Unknown,0,0,Changing_lane,Slight Injury,20,1
4,2,1,Employee,3,Lorry,0,1,One-way,Crossing,1,1,Vehicles,6,2,Forward,Driver or rider,3,0,Driving_carelessly,Slight Injury,20,1
4,3,2,Owner,1,Other,2,1,Undivided_Two-way,Crossing,1,1,Animated_Objects,6,2,Backward,Unknown,0,0,Changing_lane,Slight Injury,20,1
4,3,2,Employee,3,Lorry,3,1,Other,Crossing,1,1,Inanimated_Objects,6,2,Stop,Passenger,3,0,Driving_carelessly,Slight Injury,20,1
3,3,0,Unknown,0,Other,3,0,Undivided_Two-way,No_junction,0,1,Vehicles,3,1,Forward,Unknown,0,0,No_distance,Slight Injury,10,1
3,3,2,Employee,2,Automobile,3,0,One-way,No_junction,0,1,Vehicles,3,1,Stop,Unknown,0,0,Driving_carelessly,Slight Injury,10,1
3,3,2,Employee,1,Lorry,0,1,Divided_Two-way,No_junction,0,1,Inanimated_Objects,3,1,Forward,Driver or rider,3,0,Driving_carelessly,Slight Injury,10,1
3,2,2,Employee,3,Pick up,0,1,Divided_Two-way,Crossing,1,1,Vehicles,2,2,Forward,Passenger,3,0,Driving_carelessly,Slight Injury,20,1
3,2,2,Employee,2,Public,1,1,Divided_Two-way,Crossing,1,1,Vehicles,2,2,Forward,Unknown,0,0,Changing_lane,Slight Injury,20,1
3,2,2,Employee,0,Automobile,0,0,Divided_Two-way,Crossing,1,1,Animated_Objects,2,2,Forward,Unknown,0,0,Changing_lane,Slight Injury,20,1
5,4,2,Employee,4,Automobile,0,1,One-way,Y,1,1,Vehicles,2,2,Forward,Driver or rider,3,0,No_distance,Slight Injury,11,1
5,3,2,Employee,4,Public,0,1,One-way,Y,1,1,Animated_Objects,2,2,Forward,Pedestrian,2,1,Driving_carelessly,Slight Injury,11,1
5,3,2,Employee,3,Automobile,2,1,Undivided_Two-way,Y,1,1,Vehicles,2,2,Forward,Pedestrian,2,1,No_distance,Slight Injury,11,1
4,3,2,Employee,2,Automobile,0,1,One-way,Y,1,1,Vehicles,2,1,Forward,Pedestrian,3,1,No_distance,Fatal injury,16,1
4,2,2,Owner,2,Automobile,0,1,Undivided_Two-way,Y,1,1,Inanimated_Objects,2,1,Forward,Driver or rider,2,0,Changing_lane,Fatal injury,16,1
1,3,2,Employee,1,Lorry,0,1,Divided_Two-way,Y,1,1,Vehicles,2,1,Backward,Unknown,0,0,Changing_lane,Slight Injury,13,1
1,2,2,Owner,4,Automobile,3,1,Divided_Two-way,Y,1,1,Vehicles,2,1,Forward,Unknown,0,0,No_distance,Slight Injury,13,1
5,3,2,Employee,4,Automobile,3,1,Undivided_Two-way,Other,1,1,Vehicles,2,1,Forward,Driver or rider,3,0,Other,Serious Injury,19,1
5,3,1,Employee,2,Public,3,1,One-way,Other,1,1,Animated_Objects,2,1,Forward,Unknown,0,0,Driving_carelessly,Serious Injury,19,1
6,1,2,Employee,2,Automobile,2,1,Divided_Two-way,Y,1,0,Inanimated_Objects,2,3,Forward,Driver or rider,3,0,Other,Slight Injury,23,1
6,1,0,Employee,4,Automobile,2,1,Divided_Two-way,Y,1,0,Animated_Objects,2,3,Forward,Unknown,0,0,Other,Slight Injury,23,1
6,1,1,Employee,3,Public,0,1,Divided_Two-way,Y,1,0,Vehicles,2,3,Forward,Driver or rider,2,0,Other,Slight Injury,23,1
3,2,2,Employee,1,Automobile,0,1,Divided_Two-way,No_junction,0,1,Vehicles,1,1,Forward,Pedestrian,3,1,Changing_lane,Serious Injury,9,1
4,3,1,Employee,1,Automobile,0,1,Divided_Two-way,Y,1,1,Vehicles,2,1,Forward,Unknown,0,0,Driving_carelessly,Serious Injury,15,1
4,3,2,Employee,1,Automobile,3,1,Undivided_Two-way,Y,1,1,Vehicles,2,1,Forward,Driver or rider,3,0,Other,Serious Injury,15,1
6,1,2,Employee,3,Lorry,0,1,Other,No_junction,1,1,Vehicles,1,1,Forward,Unknown,0,0,Driving_carelessly,Serious Injury,20,1
3,3,2,Owner,3,Automobile,3,1,Divided_Two-way,Crossing,1,0,Inanimated_Objects,2,2,Forward,Driver or rider,3,0,No_distance,Slight Injury,21,1
3,2,2,Owner,3,Public,3,0,Divided_Two-way,Crossing,1,0,Inanimated_Objects,2,2,Forward,Pedestrian,3,1,Driving_carelessly,Slight Injury,21,1
6,1,2,Employee,3,Automobile,0,0,One-way,Y,1,1,Vehicles,1,2,Forward,Pedestrian,3,1,Driving_carelessly,Serious Injury,21,1
6,1,2,Employee,2,Automobile,2,0,One-way,Y,1,1,Vehicles,1,2,Forward,Unknown,0,0,Other,Serious Injury,21,1
2,1,1,Employee,3,Lorry,0,0,Divided_Two-way,No_junction,0,1,Vehicles,2,2,Forward,Driver or rider,3,0,Changing_lane,Serious Injury,5,1
2,1,2,Employee,2,Automobile,2,1,Undivided_Two-way,No_junction,0,1,Vehicles,2,2,Forward,Unknown,0,0,Changing_lane,Serious Injury,5,1
1,3,1,Employee,2,Unknown,0,1,Other,No_junction,1,1,Vehicles,2,2,Backward,Driver or rider,3,0,Changing_lane,Fatal injury,9,1
1,3,2,Employee,2,Automobile,0,0,Divided_Two-way,No_junction,1,1,Vehicles,2,2,Forward,Passenger,3,0,Other,Fatal injury,9,1
3,0,2,Employee,2,Automobile,0,0,Unknown,Y,1,1,Vehicles,2,1,Forward,Passenger,3,0,No_distance,Slight Injury,18,0
3,1,2,Employee,3,Automobile,0,1,Divided_Two-way,Y,1,1,Vehicles,2,1,Forward,Driver or rider,3,0,Driving_carelessly,Slight Injury,18,1
3,4,2,Employee,3,Public,0,1,Divided_Two-way,Y,1,1,Vehicles,2,2,Unknown,Driver or rider,3,0,No_distance,Slight Injury,16,1
3,2,2,Employee,0,Unknown,0,1,Undivided_Two-way,Y,1,1,Other,2,2,Forward,Driver or rider,3,0,Driving_carelessly,Slight Injury,16,1
2,3,2,Owner,3,Automobile,0,1,Other,Y,1,1,Vehicles,2,1,Forward,Passenger,3,0,No_distance,Serious Injury,13,1
2,4,2,Employee,2,Automobile,0,1,Divided_Two-way,Y,1,1,Inanimated_Objects,2,1,Forward,Unknown,0,0,No_distance,Serious Injury,13,1
5,0,2,Employee,1,Other,0,1,Divided_Two-way,Y,1,1,Vehicles,2,1,Forward,Unknown,0,0,No_distance,Slight Injury,20,0
5,1,2,Employee,1,Automobile,0,1,One-way,Y,1,1,Vehicles,2,1,Forward,Driver or rider,3,0,Changing_lane,Slight Injury,20,1
5,4,2,Employee,1,Lorry,3,1,Divided_Two-way,No_junction,1,1,Vehicles,1,1,Forward,Passenger,3,0,No_distance,Slight Injury,19,1
6,0,2,Employee,4,Automobile,0,1,One-way,No_junction,1,1,Vehicles,1,1,Unknown,Passenger,3,0,Driving_carelessly,Serious Injury,12,0
3,3,2,Employee,1,Other,3,1,Divided_Two-way,No_junction,1,1,Vehicles,2,3,Backward,Pedestrian,3,1,Changing_lane,Slight Injury,18,1
3,3,2,Employee,2,Public,1,1,One-way,No_junction,1,1,Vehicles,2,3,Forward,Unknown,0,0,Other,Slight Injury,18,1
3,3,2,Employee,1,Automobile,0,1,Divided_Two-way,No_junction,1,1,Inanimated_Objects,2,3,Turn,Driver or rider,2,0,Driving_carelessly,Slight Injury,18,1
3,2,1,Employee,3,Automobile,2,1,Divided_Two-way,No_junction,1,1,Inanimated_Objects,2,3,Turn,Driver or rider,3,0,Changing_lane,Slight Injury,18,1
3,2,2,Owner,1,Public,0,1,Other,No_junction,1,1,Vehicles,2,1,Backward,Unknown,0,0,Driving_carelessly,Slight Injury,7,1
3,2,2,Employee,1,Lorry,0,1,Undivided_Two-way,No_junction,1,1,Inanimated_Objects,2,1,Backward,Driver or rider,3,0,No_distance,Slight Injury,7,1
4,1,1,Employee,1,Lorry,0,1,Undivided_Two-way,Other,1,1,Inanimated_Objects,2,1,Backward,Driver or rider,3,0,No_distance,Slight Injury,10,1
4,4,2,Employee,1,Lorry,0,1,Undivided_Two-way,Other,1,1,Vehicles,2,1,Backward,Unknown,0,0,Other,Slight Injury,10,1
6,4,1,Owner,3,Other,2,1,Divided_Two-way,No_junction,1,0,Vehicles,1,1,Forward,Driver or rider,3,0,No_distance,Serious Injury,23,1
1,2,1,Employee,3,Automobile,3,0,Undivided_Two-way,Y,1,1,Vehicles,1,2,Forward,Passenger,3,0,Driving_carelessly,Slight Injury,10,1
1,2,1,Employee,3,Other,0,0,Divided_Two-way,Y,1,1,Vehicles,1,2,Forward,Unknown,0,0,Changing_lane,Slight Injury,10,1
6,2,2,Employee,3,Other,0,0,Divided_Two-way,No_junction,0,1,Vehicles,2,3,Forward,Driver or rider,2,0,Changing_lane,Slight Injury,13,1
6,4,2,Employee,2,Automobile,1,1,Divided_Two-way,No_junction,0,1,Vehicles,2,3,Forward,Unknown,0,0,Other,Slight Injury,13,1
6,4,2,Employee,4,Automobile,3,0,Undivided_Two-way,No_junction,0,1,Vehicles,2,3,Forward,Unknown,0,0,No_distance,Slight Injury,13,1
1,2,2,Employee,3,Lorry,3,0,Undivided_Two-way,Y,1,1,Animated_Objects,6,1,Forward,Driver or rider,3,0,Changing_lane,Slight Injury,17,1
1,3,2,Employee,4,Lorry,3,0,Undivided_Two-way,Y,1,1,Vehicles,6,1,Turn,Passenger,3,0,Changing_lane,Slight Injury,17,1
1,3,2,Employee,2,Lorry,0,1,Other,Y,1,1,Inanimated_Objects,6,1,Forward,Driver or rider,3,0,Other,Slight Injury,17,1
1,3,2,Employee,1,Lorry,3,1,Undivided_Two-way,Y,1,1,Vehicles,6,1,Backward,Passenger,3,0,Driving_carelessly,Slight Injury,17,1
5,3,2,Employee,1,Lorry,0,0,Divided_Two-way,No_junction,1,1,Vehicles,3,4,Forward,Passenger,3,0,Changing_lane,Slight Injury,17,1
5,3,2,Employee,2,Automobile,0,1,Divided_Two-way,No_junction,1,1,Vehicles,3,4,Backward,Passenger,3,0,No_distance,Slight Injury,17,1
5,3,1,Employee,1,Other,0,1,Divided_Two-way,No_junction,1,1,Vehicles,3,4,Forward,Passenger,3,0,Changing_lane,Slight Injury,17,1
5,3,2,Employee,2,Automobile,0,1,Divided_Two-way,No_junction,1,1,Vehicles,3,4,Forward,Unknown,0,0,Changing_lane,Slight Injury,17,1
7,2,2,Employee,3,Automobile,3,1,Undivided_Two-way,No_junction,0,1,Vehicles,3,2,Stop,Driver or rider,3,0,No_distance,Slight Injury,11,1
7,2,2,Employee,4,Automobile,3,1,Undivided_Two-way,No_junction,0,1,Vehicles,3,2,Backward,Unknown,0,0,Changing_lane,Slight Injury,11,1
7,3,2,Employee,4,Automobile,3,1,Other,No_junction,0,1,Vehicles,3,2,Backward,Driver or rider,3,0,Driving_carelessly,Slight Injury,11,1
6,2,2,Employee,3,Public,3,1,Undivided_Two-way,No_junction,1,0,Inanimated_Objects,1,2,Forward,Unknown,0,0,Driving_carelessly,Serious Injury,3,1
6,2,1,Employee,1,Lorry,1,1,Divided_Two-way,No_junction,1,0,Vehicles,1,2,Unknown,Driver or rider,3,0,Changing_lane,Serious Injury,3,1
2,3,1,Employee,3,Lorry,3,1,Undivided_Two-way,Crossing,1,1,Inanimated_Objects,2,1,Forward,Driver or rider,2,0,Other,Slight Injury,17,1
2,1,2,Employee,3,Lorry,3,1,Undivided_Two-way,Crossing,1,1,Vehicles,2,1,Forward,Unknown,0,0,Changing_lane,Slight Injury,17,1
5,3,2,Employee,1,Automobile,3,1,One-way,No_junction,1,1,Other,2,1,Forward,Unknown,0,0,Other,Slight Injury,17,1
5,1,2,Owner,3,Other,3,1,Divided_Two-way,No_junction,1,1,Other,2,1,Backward,Driver or rider,3,0,No_distance,Slight Injury,17,1
2,3,0,Owner,1,Pick up,0,1,Divided_Two-way,Unknown,1,1,Vehicles,2,1,Forward,Driver or rider,3,0,Driving_carelessly,Slight Injury,17,1
7,3,1,Owner,3,Other,1,1,Other,Y,1,1,Vehicles,1,1,Forward,Passenger,3,0,Changing_lane,Slight Injury,18,1
3,3,3,Employee,4,Automobile,3,1,Undivided_Two-way,Crossing,1,0,Vehicles,2,1,Forward,Driver or rider,3,0,Driving_carelessly,Serious Injury,23,1
3,3,2,Employee,1,Pick up,3,1,One-way,Crossing,1,0,Animated_Objects,2,1,Forward,Passenger,3,0,Changing_lane,Serious Injury,23,1
3,1,2,Employee,1,Other,1,1,Undivided_Two-way,Other,1,1,Inanimated_Objects,2,2,Backward,Passenger,3,0,Driving_carelessly,Slight Injury,14,1
3,1,2,Employee,4,Automobile,2,1,Undivided_Two-way,Other,1,1,Other,2,2,Forward,Driver or rider,3,0,No_distance,Slight Injury,14,1
3,4,2,Owner,4,Lorry,3,1,One-way,Other,1,1,Other,2,2,Forward,Driver or rider,3,0,Other,Slight Injury,14,1
6,0,2,Employee,4,Automobile,3,1,Undivided_Two-way,Y,1,1,Other,3,1,Forward,Unknown,0,0,Driving_carelessly,Slight Injury,14,0
6,2,2,Employee,0,Automobile,1,1,Divided_Two-way,Y,1,1,Other,3,1,Forward,Driver or rider,3,0,Other,Slight Injury,14,1
7,3,1,Owner,1,Automobile,2,1,Other,Y,0,1,Vehicles,2,4,Forward,Pedestrian,3,1,No_distance,Slight Injury,12,1
7,2,2,Owner,1,Public,0,1,One-way,Y,0,1,Vehicles,2,4,Forward,Driver or rider,3,0,Other,Slight Injury,12,1
7,2,2,Owner,1,Lorry,0,1,Divided_Two-way,Y,0,1,Inanimated_Objects,2,4,Forward,Unknown,0,0,Changing_lane,Slight Injury,12,1
7,2,2,Owner,2,Pick up,0,1,One-way,Y,0,1,Inanimated_Objects,2,4,Stop,Unknown,0,0,Driving_carelessly,Slight Injury,12,1
7,2,0,Owner,3,Lorry,0,1,One-way,Y,0,1,Vehicles,2,4,Forward,Driver or rider,3,0,Other,Slight Injury,12,1
5,2,0,Owner,4,Other,0,1,One-way,No_junction,1,1,Vehicles,2,1,Forward,Driver or rider,3,0,Changing_lane,Slight Injury,18,1
5,2,2,Owner,2,Automobile,0,1,Divided_Two-way,No_junction,1,1,Vehicles,2,1,Forward,Unknown,0,0,Changing_lane,Slight Injury,18,1
3,2,1,Owner,4,Lorry,0,1,Unknown,Y,1,1,Vehicles,2,1,Forward,Unknown,0,0,Driving_carelessly,Slight Injury,11,1
3,2,1,Owner,3,Lorry,0,0,One-way,Y,1,1,Vehicles,2,1,Forward,Driver or rider,3,0,Changing_lane,Slight Injury,11,1
2,4,0,Owner,0,Lorry,0,0,Undivided_Two-way,Y,1,1,Other,2,2,Forward,Unknown,0,0,Driving_carelessly,Slight Injury,7,1
2,2,2,Owner,3,Automobile,0,0,Unknown,Y,1,1,Vehicles,2,2,Forward,Driver or rider,3,0,Driving_carelessly,Slight Injury,7,1
2,2,2,Owner,1,Automobile,2,1,Divided_Two-way,Y,1,1,Inanimated_Objects,2,2,Forward,Passenger,3,0,Changing_lane,Slight Injury,7,1
2,2,2,Owner,2,Automobile,3,0,Divided_Two-way,No_junction,0,1,Animated_Objects,2,1,Forward,Passenger,3,0,Driving_carelessly,Slight Injury,16,1
2,3,1,Employee,2,Lorry,3,0,Divided_Two-way,No_junction,0,1,Vehicles,2,1,Forward,Unknown,0,0,Other,Slight Injury,16,1
1,1,2,Employee,2,Lorry,0,0,Divided_Two-way,Y,0,1,Vehicles,2,1,Forward,Passenger,3,0,No_distance,Slight Injury,18,1
1,0,2,Employee,2,Lorry,2,0,Undivided_Two-way,Y,0,1,Vehicles,2,1,Forward,Driver or rider,3,0,Changing_lane,Slight Injury,18,0
2,2,2,Employee,3,Lorry,2,0,Undivided_Two-way,No_junction,1,1,Vehicles,3,1,Forward,Unknown,0,0,Driving_carelessly,Serious Injury,18,1
2,3,2,Employee,3,Other,2,0,Divided_Two-way,No_junction,1,1,Vehicles,3,1,Turn,Unknown,0,0,Other,Serious Injury,18,1
2,3,2,Employee,4,Lorry,3,1,Divided_Two-way,No_junction,1,1,Vehicles,3,1,Backward,Driver or rider,3,0,Other,Serious Injury,18,1
7,2,1,Employee,3,Lorry,0,0,Divided_Two-way,Y,1,1,Vehicles,3,2,Backward,Unknown,0,0,No_distance,Slight Injury,15,1
7,3,2,Employee,3,Public,0,1,Undivided_Two-way,Y,1,1,Inanimated_Objects,3,2,Forward,Driver or rider,3,0,Changing_lane,Slight Injury,15,1
7,3,2,Employee,4,Automobile,0,1,One-way,Y,1,1,Other,3,2,Backward,Driver or rider,3,0,Changing_lane,Slight Injury,15,1
2,2,1,Owner,0,Automobile,0,0,Divided_Two-way,Crossing,1,1,Vehicles,1,1,Forward,Unknown,0,0,Other,Slight Injury,10,1
1,3,2,Owner,3,Pick up,2,0,Undivided_Two-way,Crossing,1,1,Animated_Objects,1,1,Forward,Pedestrian,3,1,Driving_carelessly,Slight Injury,19,1
5,2,2,Employee,3,Unknown,0,0,Other,No_junction,0,1,Vehicles,2,3,Forward,Unknown,0,0,Other,Slight Injury,14,1
5,3,0,Unknown,0,Unknown,0,0,Undivided_Two-way,No_junction,0,1,Animated_Objects,2,3,Forward,Driver or rider,3,0,No_distance,Slight Injury,14,1
7,1,2,Employee,3,Automobile,0,0,Undivided_Two-way,No_junction,0,1,Animated_Objects,1,1,Unknown,Passenger,3,0,Driving_carelessly,Serious Injury,8,1
1,0,2,Employee,3,Automobile,0,0,One-way,Y,1,0,Vehicles,2,1,Forward,Unknown,0,0,Other,Slight Injury,22,0
1,2,2,Employee,4,Lorry,0,0,Undivided_Two-way,Y,1,0,Vehicles,2,1,Unknown,Driver or rider,3,0,Driving_carelessly,Slight Injury,22,1
5,2,2,Employee,4,Public,0,1,Undivided_Two-way,No_junction,0,1,Vehicles,2,2,Forward,Passenger,3,0,Driving_carelessly,Slight Injury,15,1
5,4,2,Employee,4,Lorry,0,1,Divided_Two-way,No_junction,0,1,Vehicles,2,2,Forward,Driver or rider,3,0,No_distance,Slight Injury,15,1
7,3,2,Employee,4,Lorry,0,0,Other,No_junction,1,0,Inanimated_Objects,2,4,Forward,Unknown,0,0,Other,Fatal injury,21,1
7,3,2,Employee,4,Pick up,2,0,Undivided_Two-way,No_junction,1,0,Vehicles,2,4,Backward,Passenger,3,0,Changing_lane,Fatal injury,21,1
7,2,2,Employee,3,Automobile,1,1,Other,No_junction,1,0,Vehicles,2,4,Forward,Driver or rider,3,0,Driving_carelessly,Fatal injury,21,1
7,2,2,Employee,2,Automobile,3,1,Other,No_junction,1,0,Vehicles,2,4,Turn,Unknown,0,0,Changing_lane,Fatal injury,21,1
1,2,2,Employee,1,Automobile,0,1,Other,No_junction,1,1,Vehicles,3,1,Forward,Driver or rider,3,0,No_distance,Slight Injury,16,1
1,4,2,Employee,2,Lorry,3,0,One-way,No_junction,1,1,Vehicles,3,1,Unknown,Unknown,0,0,Other,Slight Injury,16,1
5,3,1,Employee,1,Automobile,0,1,Divided_Two-way,No_junction,0,1,Vehicles,2,1,Forward,Unknown,0,0,No_distance,Slight Injury,15,1
5,3,2,Employee,1,Automobile,2,1,Other,No_junction,0,1,Vehicles,2,1,Forward,Driver or rider,3,0,Other,Slight Injury,15,1
6,4,2,Employee,0,Unknown,0,1,Undivided_Two-way,No_junction,1,1,Vehicles,1,1,Forward,Pedestrian,3,0,No_distance,Fatal injury,14,1
3,3,0,Employee,3,Other,0,1,Divided_Two-way,Y,1,1,Vehicles,2,2,Forward,Driver or rider,3,0,Changing_lane,Slight Injury,19,1
3,4,1,Employee,1,Other,0,1,Divided_Two-way,Y,1,1,Vehicles,2,2,Backward,Passenger,3,0,Driving_carelessly,Slight Injury,19,1
5,4,2,Employee,1,Lorry,3,1,Divided_Two-way,Y,0,1,Vehicles,1,1,Forward,Driver or rider,3,0,Changing_lane,Slight Injury,16,1
1,2,1,Employee,4,Lorry,0,1,Undivided_Two-way,Y,1,1,Vehicles,2,1,Forward,Unknown,0,0,No_distance,Slight Injury,17,1
2,3,1,Employee,4,Lorry,0,1,Divided_Two-way,No_junction,1,1,Vehicles,2,1,Forward,Driver or rider,3,0,Driving_carelessly,Serious Injury,9,1
2,4,1,Employee,1,Other,0,1,Divided_Two-way,No_junction,1,1,Inanimated_Objects,2,1,Forward,Unknown,0,0,Driving_carelessly,Serious Injury,9,1
4,4,2,Employee,2,Automobile,3,1,Divided_Two-way,No_junction,1,1,Vehicles,2,1,Forward,Unknown,0,0,No_distance,Slight Injury,10,1
4,4,2,Employee,2,Automobile,1,1,Divided_Two-way,No_junction,1,1,Vehicles,2,1,Forward,Driver or rider,3,0,Driving_carelessly,Slight Injury,10,1
4,2,3,Employee,4,Automobile,3,1,Divided_Two-way,Crossing,1,0,Vehicles,2,1,Turn,Driver or rider,3,0,Driving_carelessly,Fatal injury,21,1
4,2,2,Employee,2,Automobile,1,1,Undivided_Two-way,Crossing,1,0,Vehicles,2,1,Forward,Unknown,0,0,Other,Fatal injury,21,1
5,1,2,Employee,2,Unknown,3,1,Divided_Two-way,Y,1,1,Animated_Objects,3,1,Forward,Unknown,0,0,Other,Serious Injury,16,1
5,2,2,Employee,1,Public,0,1,Undivided_Two-way,Y,1,1,Vehicles,3,1,Backward,Driver or rider,3,0,Driving_carelessly,Serious Injury,16,1
5,3,2,Employee,3,Public,1,1,Undivided_Two-way,Y,1,1,Vehicles,3,1,Forward,Unknown,0,0,Driving_carelessly,Serious Injury,16,1
6,2,2,Employee,1,Automobile,1,1,Undivided_Two-way,No_junction,1,1,Vehicles,3,1,Forward,Driver or rider,2,0,Changing_lane,Slight Injury,19,1
6,2,2,Employee,1,Automobile,0,1,Undivided_Two-way,No_junction,1,1,Vehicles,3,1,Forward,Unknown,0,0,Driving_carelessly,Slight Injury,19,1
6,2,1,Employee,0,Other,0,1,Undivided_Two-way,No_junction,1,1,Vehicles,3,1,Other,Pedestrian,3,0,No_distance,Slight Injury,19,1
7,3,2,Employee,1,Automobile,3,1,Divided_Two-way,Y,1,1,Vehicles,2,1,Forward,Pedestrian,3,1,Other,Slight Injury,9,1
7,2,2,Employee,1,Lorry,0,0,Divided_Two-way,Y,1,1,Vehicles,2,1,Forward,Driver or rider,3,0,Changing_lane,Slight Injury,9,1
3,4,1,Employee,2,Automobile,0,0,Divided_Two-way,Y,1,1,Vehicles,1,2,Turn,Unknown,0,0,No_distance,Slight Injury,11,1
3,4,2,Employee,1,Public,0,0,Undivided_Two-way,Y,1,1,Animated_Objects,1,2,Backward,Driver or rider,3,0,Other,Slight Injury,11,1
5,2,2,Employee,1,Automobile,0,0,Divided_Two-way,No_junction,0,1,Vehicles,1,2,Forward,Unknown,0,0,Changing_lane,Slight Injury,6,1
5,2,2,Employee,4,Public,3,0,Undivided_Two-way,No_junction,0,1,Vehicles,1,2,Forward,Driver or rider,3,0,Other,Slight Injury,6,1
4,2,1,Owner,3,Unknown,3,0,Other,Crossing,1,1,Vehicles,2,1,Backward,Driver or rider,3,0,No_distance,Serious Injury,9,1
5,3,2,Employee,3,Lorry,0,0,Divided_Two-way,Y,1,1,Vehicles,2,1,Forward,Driver or rider,3,0,Changing_lane,Slight Injury,9,1
5,3,1,Owner,3,Public,3,1,Divided_Two-way,Y,1,1,Vehicles,2,1,Forward,Unknown,0,0,Changing_lane,Slight Injury,9,1
1,4,2,Employee,2,Lorry,3,1,Other,No_junction,1,1,Vehicles,2,1,Stop,Pedestrian,2,0,Other,Slight Injury,17,1
7,3,2,Employee,3,Public,3,1,Other,No_junction,1,1,Vehicles,2,1,Forward,Passenger,3,0,No_distance,Slight Injury,16,1
7,1,2,Employee,1,Public,0,1,Divided_Two-way,No_junction,1,1,Vehicles,2,1,Unknown,Passenger,3,0,Driving_carelessly,Slight Injury,16,1
2,3,1,Employee,3,Automobile,0,1,Divided_Two-way,Crossing,1,1,Vehicles,2,1,Forward,Driver or rider,3,0,Other,Serious Injury,15,1
2,1,1,Employee,2,Pick up,0,1,Divided_Two-way,Crossing,1,1,Inanimated_Objects,2,1,Forward,Driver or rider,3,0,No_distance,Serious Injury,15,1
6,2,2,Employee,1,Automobile,0,1,Divided_Two-way,Y,1,0,Vehicles,2,2,Stop,Passenger,3,0,Changing_lane,Slight Injury,20,1
6,2,2,Employee,1,Other,3,1,Divided_Two-way,Y,1,0,Vehicles,2,2,Forward,Passenger,3,0,Driving_carelessly,Slight Injury,20,1
3,3,2,Employee,3,Unknown,3,1,Undivided_Two-way,Y,1,1,Vehicles,2,1,Turn,Driver or rider,3,0,Other,Slight Injury,7,1
3,1,2,Owner,3,Automobile,3,1,Undivided_Two-way,Y,1,1,Vehicles,2,1,Forward,Unknown,0,0,Changing_lane,Slight Injury,7,1
7,4,1,Employee,1,Automobile,3,1,One-way,Other,1,0,Other,1,1,Backward,Driver or rider,2,0,Driving_carelessly,Slight Injury,19,1
3,3,2,Employee,0,Pick up,0,0,Divided_Two-way,Y,0,0,Vehicles,2,1,Forward,Unknown,0,0,Changing_lane,Slight Injury,6,1
3,1,1,Employee,4,Lorry,3,1,Unknown,Y,0,0,Vehicles,2,1,Forward,Unknown,0,0,Driving_carelessly,Slight Injury,6,1
5,2,2,Owner,1,Automobile,1,0,Undivided_Two-way,Y,1,1,Inanimated_Objects,3,2,Unknown,Driver or rider,3,0,Changing_lane,Slight Injury,12,1
5,4,2,Employee,4,Lorry,3,0,Undivided_Two-way,Y,1,1,Vehicles,3,2,Backward,Driver or rider,2,0,Driving_carelessly,Slight Injury,12,1
2,3,1,Owner,2,Lorry,2,1,Other,Y,1,1,Vehicles,2,1,Forward,Driver or rider,3,0,Driving_carelessly,Serious Injury,18,1
2,4,2,Employee,3,Lorry,3,0,Divided_Two-way,Y,1,1,Inanimated_Objects,2,1,Backward,Passenger,3,0,No_distance,Serious Injury,18,1
7,1,2,Employee,1,Pick up,1,1,One-way,Y,1,1,Inanimated_Objects,2,1,Forward,Driver or rider,3,0,No_distance,Slight Injury,11,1
7,4,2,Employee,3,Pick up,3,0,One-way,Y,1,1,Vehicles,2,1,Forward,Passenger,3,0,Driving_carelessly,Slight Injury,11,1
