Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_conditions,Light_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Saturday,Older_Adult,Male,Middle,Employee,Intermediate,Automobile,Advanced_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,8
Saturday,Adult,Male,Elementary,Employee,Expert,Other,Advanced_Exp,No defect,One-way,No_junction,Dry,Daylight,Vehicles,2,1,Backward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,8
Saturday,Older_Adult,Male,Middle,Employee,Intermediate,Public,Unknown,Unknown,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,2,No_pedestrian,Other,Slight Injury,14
Saturday,Young_Adult,Male,Elementary,Employee,Expert,Automobile,Advanced_Exp,No defect,Unknown,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,14
Sunday,Young_Adult,Male,Middle,Employee,Expert,Automobile,Valid_Recent_Exp,Unknown,Undivided_Two-way,Y,Dry,Darkness,Vehicles,2,1,Forward,Pedestrian,3,No_pedestrian,No_distance,Slight Injury,1
Sunday,Unknown,Male,Middle,Employee,Intermediate,Automobile,Unknown,Unknown,Divided_Two-way,Y,Dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,1
Saturday,Young_Adult,Male,Middle,Employee,Expert,Automobile,Advanced_Exp,Unknown,Undivided_Two-way,No_junction,Dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,23
Saturday,Young_Adult,Male,Middle,Employee,Expert,Automobile,Moderate_Exp,No defect,Other,No_junction,Dry,Darkness,Inanimated_Objects,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,23
Sunday,Older_Adult,Male,Middle,Employee,Beginner,Unknown,Advanced_Exp,Unknown,Divided_Two-way,Y,Dry,Daylight,Vehicles,2,2,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,12
Sunday,Unknown,Male,Middle,Owner,Expert,Unknown,Valid_Recent_Exp,No defect,One-way,Y,Dry,Daylight,Vehicles,2,2,Forward,Pedestrian,2,No_pedestrian,Changing_lane,Slight Injury,12
Sunday,Unknown,Male,Middle,Unknown,Expert,Pick up,Advanced_Exp,Unknown,One-way,Crossing,Dry,Darkness,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,19
Friday,Unknown,Female,Middle,Employee,Advanced,Other,Advanced_Exp,No defect,Divided_Two-way,Crossing,Dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,21
Friday,Young_Adult,Male,Elementary,Unknown,Unknown,Pick up,Advanced_Exp,No defect,Divided_Two-way,Crossing,Dry,Darkness,Other,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,21
Monday,Adult,Male,Middle,Employee,Advanced,Other,Moderate_Exp,No defect,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,1,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,17
Monday,Adult,Male,Middle,Employee,Advanced,Automobile,Unknown,No defect,Divided_Two-way,No_junction,Not dry,Darkness,Vehicles,1,1,Other,Unknown,0,No_pedestrian,Other,Slight Injury,22
Saturday,Young_Adult,Male,Middle,Owner,Beginner,Pick up,Moderate_Exp,No defect,Divided_Two-way,Crossing,Dry,Daylight,Inanimated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,17
Saturday,Unknown,Male,Middle,Employee,Advanced,Lorry,Moderate_Exp,No defect,One-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,17
Tuesday,Adult,Male,Elementary,Employee,Intermediate,Lorry,Valid_Recent_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,12
Tuesday,Young_Adult,Male,Middle,Owner,Intermediate,Automobile,Advanced_Exp,Unknown,Other,Y,Not dry,Daylight,Vehicles,1,2,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,17
Tuesday,Young_Adult,Male,Elementary,Employee,Intermediate,Automobile,Advanced_Exp,Unknown,Divided_Two-way,Y,Not dry,Daylight,Inanimated_Objects,1,2,Forward,Passenger,3,No_pedestrian,Driving_carelessly,Slight Injury,17
Sunday,Adult,Male,Middle,Owner,Intermediate,Pick up,Unknown,No defect,Undivided_Two-way,Y,Dry,Darkness,Inanimated_Objects,2,1,Forward,Pedestrian,3,Pedestrian,Driving_carelessly,Slight Injury,18
Sunday,Unknown,Male,Middle,Employee,Expert,Pick up,Unknown,No defect,Undivided_Two-way,Y,Dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,18
Wednesday,Adult,Male,Middle,Employee,Intermediate,Lorry,Valid_Recent_Exp,No defect,Undivided_Two-way,Unknown,Dry,Daylight,Vehicles,2,1,Other,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,18
Wednesday,Unknown,Male,Middle,Employee,Beginner,Public,Unknown,No defect,Undivided_Two-way,Unknown,Dry,Daylight,Inanimated_Objects,2,1,Forward,Pedestrian,3,No_pedestrian,Driving_carelessly,Slight Injury,18
Tuesday,Unknown,Male,Middle,Employee,Intermediate,Other,Unknown,No defect,Divided_Two-way,Crossing,Dry,Daylight,Inanimated_Objects,1,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,15
Wednesday,Young_Adult,Male,Middle,Employee,Beginner,Automobile,Unknown,No defect,One-way,No_junction,Dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,21
Wednesday,Unknown,Female,Middle,Employee,Advanced,Automobile,Unknown,No defect,Divided_Two-way,No_junction,Dry,Darkness,Animated_Objects,2,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,21
Wednesday,Adult,Male,Middle,Employee,Advanced,Automobile,Unknown,No defect,One-way,Y,Dry,Daylight,Vehicles,1,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,12
Thursday,Young_Adult,Male,Elementary,Owner,Intermediate,Lorry,Unknown,No defect,Divided_Two-way,No_junction,Not dry,Daylight,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,11
Thursday,Adult,Male,Elementary,Employee,Beginner,Automobile,Valid_Recent_Exp,No defect,Divided_Two-way,Crossing,Not dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,7
Thursday,Adult,Male,Unknown,Unknown,Unknown,Lorry,Moderate_Exp,No defect,Divided_Two-way,Crossing,Not dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,7
Friday,Older_Adult,Male,Middle,Employee,Expert,Public,Moderate_Exp,No defect,Divided_Two-way,Crossing,Dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,0
Friday,Young_Adult,Male,Middle,Employee,Beginner,Automobile,Valid_Recent_Exp,Unknown,Undivided_Two-way,Crossing,Dry,Darkness,Inanimated_Objects,2,1,Backward,Passenger,3,No_pedestrian,Changing_lane,Slight Injury,0
Thursday,Adult,Male,Middle,Owner,Advanced,Automobile,Unknown,No defect,One-way,Y,Dry,Daylight,Inanimated_Objects,1,1,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,15
Friday,Unknown,Female,Middle,Employee,Beginner,Automobile,Moderate_Exp,Unknown,One-way,No_junction,Dry,Darkness,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,20
Friday,Older_Adult,Male,Middle,Employee,Expert,Unknown,Advanced_Exp,No defect,Divided_Two-way,Unknown,Dry,Darkness,Vehicles,1,1,Forward,Passenger,3,No_pedestrian,No_distance,Slight Injury,20
Friday,Adult,Male,Middle,Employee,Beginner,Lorry,Moderate_Exp,Unknown,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Pedestrian,3,No_pedestrian,Other,Slight Injury,9
Friday,Adult,Male,Elementary,Employee,Intermediate,Lorry,Unknown,Unknown,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Backward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,9
Saturday,Older_Adult,Male,Middle,Employee,Advanced,Automobile,Unknown,No defect,Undivided_Two-way,Crossing,Dry,Daylight,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,12
Saturday,Older_Adult,Male,Elementary,Employee,Advanced,Automobile,Valid_Recent_Exp,No defect,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,6,2,Other,Unknown,0,No_pedestrian,Other,Slight Injury,14
Saturday,Older_Adult,Male,Middle,Owner,Beginner,Public,Unknown,No defect,Undivided_Two-way,Crossing,Dry,Daylight,Vehicles,6,2,Other,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,14
Saturday,Older_Adult,Male,Middle,Employee,Advanced,Public,Unknown,No defect,One-way,Crossing,Dry,Daylight,Vehicles,6,2,Forward,Driver or rider,2,No_pedestrian,Other,Slight Injury,14
Saturday,Adult,Male,Unknown,Unknown,Unknown,Automobile,Unknown,No defect,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,6,2,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,14
Saturday,Young_Adult,Male,Middle,Employee,Intermediate,Public,Unknown,No defect,One-way,Y,Dry,Daylight,Vehicles,2,2,Forward,Pedestrian,3,No_pedestrian,Changing_lane,Slight Injury,15
Saturday,Older_Adult,Male,Middle,Employee,Beginner,Public,Unknown,No defect,Undivided_Two-way,Y,Dry,Daylight,Other,2,2,Forward,Passenger,3,No_pedestrian,Changing_lane,Slight Injury,15
Sunday,Young_Adult,Male,Middle,Employee,Advanced,Lorry,Unknown,No defect,Undivided_Two-way,No_junction,Not dry,Daylight,Vehicles,2,1,Other,Unknown,0,No_pedestrian,Other,Slight Injury,16
Sunday,Young_Adult,Male,Middle,Employee,Intermediate,Automobile,Unknown,No defect,Undivided_Two-way,No_junction,Not dry,Daylight,Inanimated_Objects,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,16
Sunday,Young_Adult,Male,Middle,Employee,Unknown,Lorry,Unknown,Unknown,Other,Crossing,Not dry,Darkness,Vehicles,2,1,Stop,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,2
Sunday,Unknown,Male,Middle,Employee,Expert,Unknown,Unknown,No defect,Undivided_Two-way,Crossing,Not dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,2
Monday,Young_Adult,Male,Middle,Employee,Expert,Automobile,Moderate_Exp,Unknown,Undivided_Two-way,Y,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,18
Monday,Unknown,Female,Middle,Employee,Advanced,Automobile,Unknown,Unknown,Undivided_Two-way,Y,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,18
Tuesday,Adult,Male,Middle,Employee,Intermediate,Unknown,Unknown,Unknown,Undivided_Two-way,No_junction,Not dry,Darkness,Vehicles,1,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,2
Monday,Adult,Male,Middle,Owner,Intermediate,Unknown,Unknown,No defect,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,1,1,Forward,Passenger,3,No_pedestrian,Changing_lane,Slight Injury,16
Wednesday,Unknown,Male,Middle,Employee,Beginner,Automobile,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Inanimated_Objects,1,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,13
Tuesday,Adult,Male,Middle,Owner,Expert,Automobile,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Inanimated_Objects,1,1,Backward,Driver or rider,3,No_pedestrian,Other,Slight Injury,9
Tuesday,Young_Adult,Male,Middle,Employee,Expert,Automobile,Advanced_Exp,Unknown,One-way,No_junction,Dry,Daylight,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,12
Tuesday,Adult,Male,Elementary,Employee,Intermediate,Other,Unknown,Unknown,Divided_Two-way,Y,Dry,Daylight,Inanimated_Objects,1,1,Other,Pedestrian,2,Pedestrian,Other,Serious Injury,10
Tuesday,Unknown,Female,Middle,Employee,Intermediate,Other,Moderate_Exp,Unknown,Undivided_Two-way,Y,Dry,Daylight,Inanimated_Objects,1,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,14
Wednesday,Adult,Male,Unknown,Employee,Expert,Automobile,Valid_Recent_Exp,Unknown,Unknown,No_junction,Dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,4
Wednesday,Adult,Male,Elementary,Employee,Advanced,Lorry,Advanced_Exp,Unknown,Undivided_Two-way,No_junction,Dry,Darkness,Vehicles,2,1,Forward,Passenger,3,No_pedestrian,No_distance,Slight Injury,4
Wednesday,Unknown,Female,Middle,Employee,Beginner,Lorry,Advanced_Exp,Unknown,Undivided_Two-way,Crossing,Dry,Daylight,Inanimated_Objects,1,1,Forward,Passenger,3,No_pedestrian,Driving_carelessly,Slight Injury,15
Wednesday,Adult,Male,Elementary,Employee,Beginner,Lorry,Valid_Recent_Exp,No defect,Other,Y,Dry,Daylight,Vehicles,2,2,Unknown,Unknown,0,No_pedestrian,Other,Slight Injury,15
Wednesday,Adult,Male,Middle,Employee,Beginner,Automobile,Moderate_Exp,Unknown,One-way,Y,Dry,Daylight,Vehicles,2,2,Backward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,15
Wednesday,Unknown,Male,Middle,Employee,Advanced,Automobile,Unknown,No defect,Divided_Two-way,Y,Dry,Daylight,Vehicles,2,2,Unknown,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,15
Thursday,Adult,Male,Middle,Owner,Advanced,Public,Unknown,No defect,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,1,1,Forward,Pedestrian,3,Pedestrian,Other,Serious Injury,18
Saturday,Unknown,Male,Middle,Owner,Advanced,Public,Moderate_Exp,Unknown,Undivided_Two-way,Crossing,Dry,Darkness,Vehicles,1,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,2
Saturday,Unknown,Female,Middle,Employee,Advanced,Lorry,Unknown,No defect,Divided_Two-way,No_junction,Dry,Darkness,Vehicles,1,1,Unknown,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,1
Thursday,Adult,Male,Middle,Employee,Intermediate,Lorry,Unknown,No defect,Divided_Two-way,No_junction,Not dry,Darkness,Animated_Objects,2,1,Forward,Pedestrian,3,No_pedestrian,No_distance,Slight Injury,23
Thursday,Unknown,Male,Elementary,Employee,Advanced,Public,Unknown,No defect,One-way,No_junction,Not dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,23
Saturday,Adult,Male,Middle,Employee,Intermediate,Other,Valid_Recent_Exp,No defect,Divided_Two-way,Y,Dry,Darkness,Inanimated_Objects,1,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,3
Saturday,Adult,Male,Middle,Employee,Beginner,Lorry,Unknown,No defect,One-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,11
Saturday,Older_Adult,Male,Elementary,Employee,Intermediate,Automobile,Unknown,Unknown,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Pedestrian,3,Pedestrian,Changing_lane,Slight Injury,11
Saturday,Young_Adult,Male,Middle,Employee,Intermediate,Other,Unknown,Unknown,Divided_Two-way,No_junction,Dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,23
Saturday,Young_Adult,Male,Middle,Employee,Intermediate,Other,Moderate_Exp,No defect,Undivided_Two-way,No_junction,Dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,23
Sunday,Unknown,Male,Middle,Employee,Advanced,Automobile,Unknown,Unknown,Divided_Two-way,No_junction,Dry,Darkness,Vehicles,1,1,Other,Pedestrian,3,Pedestrian,Other,Slight Injury,2
Tuesday,Older_Adult,Male,Middle,Employee,Advanced,Automobile,Unknown,Unknown,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,14
Tuesday,Unknown,Female,Middle,Employee,Unknown,Lorry,Valid_Recent_Exp,No defect,Undivided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,14
Thursday,Unknown,Female,Middle,Owner,Advanced,Automobile,Advanced_Exp,No defect,Divided_Two-way,Y,Dry,Daylight,Vehicles,1,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,14
Thursday,Adult,Male,Middle,Employee,Intermediate,Public,Advanced_Exp,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,11
Friday,Adult,Male,Middle,Employee,Beginner,Lorry,Unknown,No defect,Other,Y,Dry,Daylight,Inanimated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,11
Friday,Unknown,Male,Middle,Employee,Beginner,Public,Advanced_Exp,Unknown,Divided_Two-way,Y,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,11
Saturday,Adult,Male,Middle,Employee,Beginner,Lorry,Unknown,Unknown,Other,Y,Dry,Darkness,Inanimated_Objects,2,1,Backward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,22
Saturday,Unknown,Male,Middle,Employee,Expert,Lorry,Unknown,No defect,Undivided_Two-way,Y,Dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,22
Wednesday,Underage,Male,Middle,Employee,Beginner,Lorry,Valid_Recent_Exp,No defect,Divided_Two-way,Y,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,15
Wednesday,Underage,Male,Middle,Employee,Intermediate,Public,Valid_Recent_Exp,No defect,Divided_Two-way,Y,Dry,Daylight,Other,2,1,Forward,Driver or rider,2,No_pedestrian,No_distance,Slight Injury,15
Tuesday,Adult,Male,Middle,Employee,Beginner,Public,Unknown,No defect,Other,Y,Dry,Daylight,Animated_Objects,2,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,9
Tuesday,Unknown,Male,Elementary,Employee,Advanced,Automobile,Unknown,No defect,Other,Y,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,9
Tuesday,Adult,Male,Middle,Owner,Beginner,Lorry,Unknown,No defect,Divided_Two-way,Y,Dry,Daylight,Vehicles,1,1,Forward,Pedestrian,2,No_pedestrian,Other,Slight Injury,18
Tuesday,Adult,Male,Middle,Employee,Beginner,Automobile,Unknown,No defect,Undivided_Two-way,Y,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,17
Tuesday,Young_Adult,Male,Elementary,Employee,Beginner,Pick up,Unknown,No defect,Undivided_Two-way,Y,Dry,Daylight,Animated_Objects,2,1,Stop,Unknown,0,No_pedestrian,Other,Slight Injury,17
Tuesday,Young_Adult,Male,Middle,Employee,Beginner,Automobile,Unknown,No defect,Undivided_Two-way,Y,Dry,Daylight,Inanimated_Objects,1,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,8
Wednesday,Unknown,Male,Elementary,Owner,Advanced,Public,Unknown,No defect,Undivided_Two-way,No_junction,Dry,Darkness,Other,1,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,23
Thursday,Adult,Male,Middle,Employee,Intermediate,Public,Unknown,No defect,Undivided_Two-way,Y,Dry,Daylight,Vehicles,2,1,Turn,Unknown,0,No_pedestrian,Other,Slight Injury,6
Thursday,Unknown,Male,Middle,Owner,Beginner,Automobile,Unknown,No defect,Undivided_Two-way,Y,Dry,Daylight,Other,2,1,Backward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,6
Monday,Young_Adult,Male,Elementary,Employee,Advanced,Unknown,Unknown,No defect,Unknown,Crossing,Dry,Daylight,Other,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,11
Monday,Unknown,Male,Elementary,Employee,Advanced,Lorry,Unknown,No defect,Divided_Two-way,Crossing,Dry,Daylight,Other,2,1,Backward,Passenger,3,No_pedestrian,No_distance,Slight Injury,11
Tuesday,Unknown,Male,Middle,Employee,Advanced,Automobile,Unknown,No defect,Undivided_Two-way,Y,Dry,Daylight,Vehicles,1,1,Forward,Passenger,3,No_pedestrian,No_distance,Slight Injury,9
Thursday,Adult,Male,Middle,Employee,Intermediate,Lorry,Unknown,No defect,Divided_Two-way,Y,Dry,Daylight,Vehicles,2,1,Unknown,Driver or rider,3,No_pedestrian,Driving_carelessly,Serious Injury,9
Thursday,Young_Adult,Male,Middle,Employee,Expert,Public,Moderate_Exp,Unknown,Divided_Two-way,Y,Dry,Daylight,Inanimated_Objects,2,1,Forward,Pedestrian,3,Pedestrian,Other,Serious Injury,9
Friday,Adult,Male,Middle,Employee,Advanced,Lorry,Moderate_Exp,Unknown,One-way,Crossing,Dry,Daylight,Inanimated_Objects,2,1,Unknown,Unknown,0,No_pedestrian,Other,Slight Injury,9
Friday,Young_Adult,Male,Middle,Employee,Expert,Other,Moderate_Exp,Unknown,Undivided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,9
Thursday,Underage,Male,Middle,Employee,Intermediate,Automobile,Moderate_Exp,Unknown,Undivided_Two-way,Y,Dry,Darkness,Vehicles,1,1,Unknown,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,22
Thursday,Young_Adult,Male,Middle,Employee,Beginner,Automobile,Moderate_Exp,No defect,Divided_Two-way,Crossing,Dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,20
Thursday,Adult,Male,Middle,Employee,Beginner,Public,Unknown,No defect,One-way,Crossing,Dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,20
Friday,Adult,Male,Middle,Owner,Advanced,Other,Unknown,No defect,Undivided_Two-way,Crossing,Dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,20
Friday,Adult,Male,Middle,Employee,Intermediate,Lorry,Moderate_Exp,No defect,One-way,Crossing,Dry,Darkness,Other,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,20
Sunday,Young_Adult,Male,Elementary,Employee,Beginner,Automobile,Advanced_Exp,No defect,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,13
Sunday,Unknown,Male,Middle,Employee,Intermediate,Public,Unknown,No defect,Divided_Two-way,Crossing,Dry,Daylight,Inanimated_Objects,2,1,Other,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,13
Saturday,Adult,Male,Middle,Employee,Advanced,Unknown,Unknown,No defect,Undivided_Two-way,Crossing,Dry,Darkness,Animated_Objects,2,2,Other,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,22
Saturday,Adult,Male,Middle,Employee,Expert,Automobile,Unknown,No defect,Divided_Two-way,Crossing,Dry,Darkness,Vehicles,2,2,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,22
Saturday,Older_Adult,Male,Middle,Employee,Expert,Pick up,Unknown,No defect,Undivided_Two-way,Crossing,Dry,Darkness,Vehicles,2,2,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,22
Sunday,Adult,Male,Middle,Employee,Advanced,Public,Unknown,No defect,One-way,Crossing,Dry,Daylight,Vehicles,2,2,Stop,Passenger,3,No_pedestrian,No_distance,Slight Injury,17
Sunday,Adult,Male,Elementary,Employee,Beginner,Lorry,Unknown,No defect,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,2,2,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,17
Friday,Young_Adult,Male,Elementary,Employee,Advanced,Lorry,Unknown,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,8
Friday,Unknown,Male,Middle,Employee,Advanced,Lorry,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,2,No_pedestrian,Driving_carelessly,Slight Injury,8
Friday,Young_Adult,Male,Middle,Employee,Beginner,Public,Unknown,No defect,One-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,10
Friday,Unknown,Male,Middle,Owner,Advanced,Lorry,Unknown,No defect,Undivided_Two-way,Crossing,Dry,Daylight,Inanimated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,10
Saturday,Young_Adult,Male,Middle,Owner,Expert,Lorry,Unknown,Unknown,One-way,Crossing,Dry,Daylight,Other,2,1,Stop,Pedestrian,3,No_pedestrian,Driving_carelessly,Slight Injury,8
Saturday,Unknown,Male,Unknown,Owner,Beginner,Other,Unknown,Unknown,Undivided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,8
Thursday,Unknown,Male,Elementary,Owner,Advanced,Lorry,Unknown,No defect,Undivided_Two-way,Crossing,Dry,Daylight,Animated_Objects,1,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,17
Tuesday,Unknown,Male,Advanced,Employee,Expert,Other,Advanced_Exp,Unknown,Undivided_Two-way,Other,Dry,Darkness,Vehicles,1,1,Other,Pedestrian,2,Pedestrian,Driving_carelessly,Slight Injury,1
Monday,Older_Adult,Male,Middle,Employee,Beginner,Automobile,Advanced_Exp,Unknown,One-way,Y,Dry,Daylight,Vehicles,3,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,15
Monday,Young_Adult,Male,Middle,Employee,Beginner,Lorry,Unknown,No defect,Other,Y,Dry,Daylight,Animated_Objects,3,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,15
Monday,Adult,Male,Middle,Employee,Expert,Pick up,Unknown,Unknown,Divided_Two-way,Y,Dry,Daylight,Animated_Objects,3,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,15
Monday,Adult,Male,Middle,Owner,Expert,Public,Advanced_Exp,Unknown,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,11
